query,ground_truth_title,TRUE,FALSE
"Do you have more info on Funko 35590 Pop! Animation: Rick & MortyTeacher Rick, Multicolor?","Funko 35590 Pop! Animation: Rick & MortyTeacher Rick, Multicolor",,1
"What's the price and brand of MightySkins Skin Compatible with Samsung Chromebook Plus LTE (2018) - Action Fish Puzzle | Protective, Durable, and Unique Vinyl wrap Cover | Easy to Apply, Remove | Made in The USA?","MightySkins Skin Compatible with Samsung Chromebook Plus LTE (2018) - Action Fish Puzzle | Protective, Durable, and Unique Vinyl wrap Cover | Easy to Apply, Remove | Made in The USA",1,
Can you show me details about Cyan Design 09586 Porco Volante Wall Decor?,Cyan Design 09586 Porco Volante Wall Decor,,1
What is Marvin's Magic 25 Mind Blowing Incredible Card Tricks used for?,Marvin's Magic 25 Mind Blowing Incredible Card Tricks,1,
Can you show me details about Yat Ming Scale 1:43-1964 Magirus-Deutz 150 D10 Fire Engine?,Yat Ming Scale 1:43-1964 Magirus-Deutz 150 D10 Fire Engine,1,
Is Ultimate Guard Arkhive 400+ XenoSkin Black a good product?,Ultimate Guard Arkhive 400+ XenoSkin Black,1,
What are the features of Squadron Products 45-Degree Fine Point Curved Tweezer?,Squadron Products 45-Degree Fine Point Curved Tweezer,,1
Do you have more info on VTech KidiZoom Smartwatch DX2 Special Edition Skateboard Swoosh with Bonus Royal Blue Wristband?,VTech KidiZoom Smartwatch DX2 Special Edition Skateboard Swoosh with Bonus Royal Blue Wristband,1,
"Tell me about Elise 330007 Brush Strokes Pattern 3-Ply Beverage Paper Napkins, Lets Party.","Elise 330007 Brush Strokes Pattern 3-Ply Beverage Paper Napkins, Lets Party",1,
What is Mardi Gras Party Scene Setters Wall Decorating Kit used for?,Mardi Gras Party Scene Setters Wall Decorating Kit,1,
I'd like to know more about Mech-X4 Mech-Link Communicators Role Play Set.,Mech-X4 Mech-Link Communicators Role Play Set,1,
Do you have more info on Doll Bike Seat Carrier for Baby Dolls & American Girl Dolls with Doll Helmet & Stickers. No Tools Required Bicycle & Scooters Seat Accessories for Dolls?,Doll Bike Seat Carrier for Baby Dolls & American Girl Dolls with Doll Helmet & Stickers. No Tools Required Bicycle & Scooters Seat Accessories for Dolls,1,
"Is Educational Insights Kanoodle Jr. Game, Ages 4 and Up, 60 Puzzles in Each Game, Large Pieces for Smaller Hands, (Pack of 10 Games) a good product?","Educational Insights Kanoodle Jr. Game, Ages 4 and Up, 60 Puzzles in Each Game, Large Pieces for Smaller Hands, (Pack of 10 Games)",1,
I'd like to know more about Application Misfits Crystal Lake Skull Patch.,Application Misfits Crystal Lake Skull Patch,1,
"I'd like to know more about Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll.","Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll",1,
Tell me about BRICTEK Crane with Truck Building Kit.,BRICTEK Crane with Truck Building Kit,1,
"Can you show me details about Panyard Steel Drum, W1070)?","Panyard Steel Drum, W1070)",,1
Can you show me details about John N. Hansen Travel Magnetic Walnut Chess Set?,John N. Hansen Travel Magnetic Walnut Chess Set,1,
"Can you describe Imperial Mint Elvis Presley Heartbreak Hotel 191314SS01 Framed Wall Art, Multicolor?","Imperial Mint Elvis Presley Heartbreak Hotel 191314SS01 Framed Wall Art, Multicolor",1,
Can you describe Bachmann Trains Great Northern Gondola?,Bachmann Trains Great Northern Gondola,,1
How much does Brainstring Retro Brainteaser Puzzle cost?,Brainstring Retro Brainteaser Puzzle,,1
"Tell me about Crayola Fancy Nancy Coloring Pages & Sticker Sheets, Gift for Girls, Ages 3, 4, 5, 6, 7, Multicolor.","Crayola Fancy Nancy Coloring Pages & Sticker Sheets, Gift for Girls, Ages 3, 4, 5, 6, 7, Multicolor",1,
What's the price and brand of Rubie's Costume Co. Men's Dolphin Mascot Costume?,Rubie's Costume Co. Men's Dolphin Mascot Costume,1,
"Tell me about Imperial Mint Whale Shark 071304SH02 Framed Wall Art, Multicolor.","Imperial Mint Whale Shark 071304SH02 Framed Wall Art, Multicolor",1,
Tell me about Hallmark Valentine's Day Stickers (Emoticons).,Hallmark Valentine's Day Stickers (Emoticons),,1
I'd like to know more about EDX Education Rainbow Pebbles Activity Set.,EDX Education Rainbow Pebbles Activity Set,1,
Do you have more info on RG Costumes Loftus International Kids Orange Superhero Cape Novelty Item?,RG Costumes Loftus International Kids Orange Superhero Cape Novelty Item,,1
Is YA OTTA PINATA BB010621 Puppy Pinata a good product?,YA OTTA PINATA BB010621 Puppy Pinata,1,
What are the features of Upper Bounce Trampoline Weather Resistant Protective Cover?,Upper Bounce Trampoline Weather Resistant Protective Cover,35,14
"How much does Unique How to Train Your Dragon Party Balloons, 8 Ct. cost?","Unique How to Train Your Dragon Party Balloons, 8 Ct.",,
"How much does Anagram Balloons 2827901 Foil Balloon, 34"", Blue cost?","Anagram Balloons 2827901 Foil Balloon, 34"", Blue",,
"What's the price and brand of Hygloss Products Blank Jigsaw Heart Puzzle â€?Compoz-A-Puzzle â€?6 x 8 Inch - 8 Pieces, 100 Puzzles with Envelopes?","Hygloss Products Blank Jigsaw Heart Puzzle â€?Compoz-A-Puzzle â€?6 x 8 Inch - 8 Pieces, 100 Puzzles with Envelopes",,
"What's the price and brand of Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector?","Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",,
I'd like to know more about Small Foot Wooden Toys Tool Belt & Accessories Adjustable playset for Kids Designed for Children 3+.,Small Foot Wooden Toys Tool Belt & Accessories Adjustable playset for Kids Designed for Children 3+,,
"How much does Speech Pathology LLC P and Q Chewy Tube Set, Orange, Set of 2 - 020541 cost?","Speech Pathology LLC P and Q Chewy Tube Set, Orange, Set of 2 - 020541",,
Can you show me details about Princess Paradise Bride of The Dead Girl's Costume?,Princess Paradise Bride of The Dead Girl's Costume,,
What's the price and brand of 35789 Dragon Ball Super Battle with Dragon Ball Fighterz Android 17 Figure?,35789 Dragon Ball Super Battle with Dragon Ball Fighterz Android 17 Figure,,
Tell me about Funko POP Disney: Kingdom Hearts Mickey Toy Figures.,Funko POP Disney: Kingdom Hearts Mickey Toy Figures,,
"Can you describe Wild Republic Ring Tailed Lemur Plush, Monkey Stuffed Animal, Plush Toy, Gifts For Kids, Hanging 20?","Wild Republic Ring Tailed Lemur Plush, Monkey Stuffed Animal, Plush Toy, Gifts For Kids, Hanging 20",,
"Do you have more info on NPW Twisted Games, Akward Silence?","NPW Twisted Games, Akward Silence",,
"Is ebba Baby Talk Carrier, My Pirate Ship Playset a good product?","ebba Baby Talk Carrier, My Pirate Ship Playset",,
"Is Funko 31177 Pop Heroes: Aquaman - Arthur Curry in Hero Suit Collectible Figure, Multicolor a good product?","Funko 31177 Pop Heroes: Aquaman - Arthur Curry in Hero Suit Collectible Figure, Multicolor",,
What is MasterPieces Tractor Town - 36 Pc Shaped Floor Puzzle used for?,MasterPieces Tractor Town - 36 Pc Shaped Floor Puzzle,,
"How much does Wild Republic Iguana Plush, Stuffed Animal, Plush Toy, Kids Gifts, Cuddlekins, 15 Inches cost?","Wild Republic Iguana Plush, Stuffed Animal, Plush Toy, Kids Gifts, Cuddlekins, 15 Inches",,
"Do you have more info on Mary Meyer Flip Flop Plush Anthony Alligator 14""?","Mary Meyer Flip Flop Plush Anthony Alligator 14""",,
How much does Tourna Ballport 85 Ball Pick up Tennis Hopper cost?,Tourna Ballport 85 Ball Pick up Tennis Hopper,,
What is Constructive Playthings CPX-291 Raffi Library Set of 5 CDs used for?,Constructive Playthings CPX-291 Raffi Library Set of 5 CDs,,
"I'd like to know more about AmazonBasics Kid's Comforter Set - Soft, Easy-Wash Microfiber - Full/Queen, Blue Scallop.","AmazonBasics Kid's Comforter Set - Soft, Easy-Wash Microfiber - Full/Queen, Blue Scallop",,
What is Alex Discover Button Art Activity Set Kids Art and Craft Activity used for?,Alex Discover Button Art Activity Set Kids Art and Craft Activity,,
Can you describe Star Wars LCG: Meditation and Mastery?,Star Wars LCG: Meditation and Mastery,,
"What is In the Breeze Thin Patriot Tails, 24-Inch used for?","In the Breeze Thin Patriot Tails, 24-Inch",,
What are the features of Rubber Bracelets | Disney Princess Dream Big Collection | Party Accessory?,Rubber Bracelets | Disney Princess Dream Big Collection | Party Accessory,,
Can you describe Redcat Racing Aluminum Steering Knuckles and Front Hub Carriers?,Redcat Racing Aluminum Steering Knuckles and Front Hub Carriers,,
"Do you have more info on Lionel Racing, Kurt Busch, Star Nursery, 2019, Chevrolet Camaro, NASCAR Diecast 1: 24 Scale?","Lionel Racing, Kurt Busch, Star Nursery, 2019, Chevrolet Camaro, NASCAR Diecast 1: 24 Scale",,
"How much does ""NFL Drive Collection"" 10.5"" Round, Party Plates cost?","""NFL Drive Collection"" 10.5"" Round, Party Plates",,
"Is Star Wars: Imperial Assault - Luke Skywalker, Jedi Knight a good product?","Star Wars: Imperial Assault - Luke Skywalker, Jedi Knight",,
What's the price and brand of PLAYMOBIL Playground Set?,PLAYMOBIL Playground Set,,
Tell me about Circuit Maze Board Game with Amazon Basics AAA Batteries Bundle.,Circuit Maze Board Game with Amazon Basics AAA Batteries Bundle,,
How much does Rubies Batman The Brave and Bold Flashlight and Batarang Kit cost?,Rubies Batman The Brave and Bold Flashlight and Batarang Kit,,
"What are the features of Fun World Complete Ninja Costume, Large 12 - 14, Multicolor?","Fun World Complete Ninja Costume, Large 12 - 14, Multicolor",,
I'd like to know more about Looking Glass Miniature Collectible - Dinosaurs (4-Pack).,Looking Glass Miniature Collectible - Dinosaurs (4-Pack),,
"Do you have more info on Forum Men's 3-d Printed Long-Sleeve T-Shirt, Elf?","Forum Men's 3-d Printed Long-Sleeve T-Shirt, Elf",,
Is Gate Keeper Games Mother Earth Halfsies Dice - 7 die polyhedral dice Set - Land Green & Sea Blue - Gold Numbering a good product?,Gate Keeper Games Mother Earth Halfsies Dice - 7 die polyhedral dice Set - Land Green & Sea Blue - Gold Numbering,,
I'd like to know more about Dimple Kaia Elephant Animated Plush Singing Elephant with Peek-a-boo Interactive Feature.,Dimple Kaia Elephant Animated Plush Singing Elephant with Peek-a-boo Interactive Feature,,
"What is Enesco Walt Disney Archives Beauty and The Beast Gift Boxed Notecard Set, Multicolor used for?","Enesco Walt Disney Archives Beauty and The Beast Gift Boxed Notecard Set, Multicolor",,
"I'd like to know more about ""NFL Drive Collection"" Party Table Decorating Kit.","""NFL Drive Collection"" Party Table Decorating Kit",,
What is Shimmer and Shine Bubble Tube | Party Favor used for?,Shimmer and Shine Bubble Tube | Party Favor,,
"Is PLM Dioramansion 150: Surface The Moon Figure Diorama, Multicolor a good product?","PLM Dioramansion 150: Surface The Moon Figure Diorama, Multicolor",,
What's the price and brand of Fantasy Flight Games Runewars: Darnati Warriors Expansion Pack?,Fantasy Flight Games Runewars: Darnati Warriors Expansion Pack,,
Can you describe Ravensburger 14796 Tropical Traffic Jigsaw Puzzle (500 Piece)?,Ravensburger 14796 Tropical Traffic Jigsaw Puzzle (500 Piece),,
Do you have more info on Star Wars Foil Decor?,Star Wars Foil Decor,,
What are the features of Power Rangers Ninja Steel Training Gear - Double Dagger and Battle Axe?,Power Rangers Ninja Steel Training Gear - Double Dagger and Battle Axe,,
How much does Aquarius Star Trek Playing Cards cost?,Aquarius Star Trek Playing Cards,,
Can you show me details about Sausage Party - Lavash?,Sausage Party - Lavash,,
"Do you have more info on WinCraft NCAA Ohio State Buckeyes Temporary Tattoos, One Size, Team Color?","WinCraft NCAA Ohio State Buckeyes Temporary Tattoos, One Size, Team Color",,
Can you show me details about Little Tikes Fish 'n Splash Water Table?,Little Tikes Fish 'n Splash Water Table,,
"Do you have more info on Horizon Group USA Paint Brushes -35 All Purpose Paint Brushes Value Pack â€?Includes 8 Different Types of Brushes, Great with Watercolors, Acrylic & Washable Paints. Multicolored?","Horizon Group USA Paint Brushes -35 All Purpose Paint Brushes Value Pack â€?Includes 8 Different Types of Brushes, Great with Watercolors, Acrylic & Washable Paints. Multicolored",,
"What's the price and brand of JOZEFINA ATELIER Collection by JOZEFINA Bunny Lawyer Money Box, Multicolor?","JOZEFINA ATELIER Collection by JOZEFINA Bunny Lawyer Money Box, Multicolor",,
"What are the features of AmazonBasics Easy Care Super Soft Microfiber Kid's Bed-in-a-Bag Bedding Set - Full / Queen, Multi-Color Racing Cars?","AmazonBasics Easy Care Super Soft Microfiber Kid's Bed-in-a-Bag Bedding Set - Full / Queen, Multi-Color Racing Cars",,
"Can you show me details about Graphic 45 4501829 Love Notes Stickers Craft Paper, Multi?","Graphic 45 4501829 Love Notes Stickers Craft Paper, Multi",,
How much does Hape DIY Flower Press Art Kit| Wooden & Plant Plastic Art Flower Press for Children Ages 5 & Up cost?,Hape DIY Flower Press Art Kit| Wooden & Plant Plastic Art Flower Press for Children Ages 5 & Up,,
"Can you describe Front Porch Classics Rummikub, Rummy Tile Board Game with Durable Wooden Rack and Case for Travel, 106 Tiles?","Front Porch Classics Rummikub, Rummy Tile Board Game with Durable Wooden Rack and Case for Travel, 106 Tiles",,
"What are the features of amscan Hibiscus Party Flowers Cutout, 13"" x 12 7/8"", 12 Ct.?","amscan Hibiscus Party Flowers Cutout, 13"" x 12 7/8"", 12 Ct.",,
What is NKOK 1: 18 Realtree 9Piece Ram 1500 Rebel & Polaris Ranger Elk Hunting Playset used for?,NKOK 1: 18 Realtree 9Piece Ram 1500 Rebel & Polaris Ranger Elk Hunting Playset,,
Do you have more info on Funko Pop! Movies: Happy Gilmore - Happy and B.Barker 2-Pack?,Funko Pop! Movies: Happy Gilmore - Happy and B.Barker 2-Pack,,
"Is Lionel Model Train Accessories, FasTrack O Gauge, #148 Dwarf Signal a good product?","Lionel Model Train Accessories, FasTrack O Gauge, #148 Dwarf Signal",,
"I'd like to know more about AdTech 05674 Permanent Crafter's Tape Refills, single unit.","AdTech 05674 Permanent Crafter's Tape Refills, single unit",,
What is TeeTurtle Reversible Llama Mini - Black/Gray Plush Toys used for?,TeeTurtle Reversible Llama Mini - Black/Gray Plush Toys,,
"Tell me about JC Toys 3-Piece Pink Accessory Gift Set Includes Bottle, Pacifier, and Rattle Fits Most Dolls - Ages 2+ - Designed by Berenguer Boutique Baby Doll, Pink.","JC Toys 3-Piece Pink Accessory Gift Set Includes Bottle, Pacifier, and Rattle Fits Most Dolls - Ages 2+ - Designed by Berenguer Boutique Baby Doll, Pink",,
"What's the price and brand of Manhattan Toy Baby Stella Boy Soft First Baby Doll for Ages 1 Year and Up, 15""?","Manhattan Toy Baby Stella Boy Soft First Baby Doll for Ages 1 Year and Up, 15""",,
What are the features of Star Wars: Force and Destiny - Nexus of Power?,Star Wars: Force and Destiny - Nexus of Power,,
What is Edu-Toys Mobile 20/30/40x Telescope used for?,Edu-Toys Mobile 20/30/40x Telescope,,
"Tell me about MightySkins Skin Compatible with Blitzart Huracane 38"" Electric Skateboard - Solid Baby Blue | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove | Made in The USA.","MightySkins Skin Compatible with Blitzart Huracane 38"" Electric Skateboard - Solid Baby Blue | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove | Made in The USA",,
What is Busch 1046 Beer Garden Set HO Scale Scenery Kit used for?,Busch 1046 Beer Garden Set HO Scale Scenery Kit,,
What is DC Comics AME-Comi: Black Canary PVC Figure used for?,DC Comics AME-Comi: Black Canary PVC Figure,,
"How much does Walthers, Inc. Served Fuel Distributor Kit cost?","Walthers, Inc. Served Fuel Distributor Kit",,
What's the price and brand of Steiff Hummi Humboldt Penguin?,Steiff Hummi Humboldt Penguin,,
How much does DecoPac Frozen Follow Your Heart DecoSet Cake Topper cost?,DecoPac Frozen Follow Your Heart DecoSet Cake Topper,,
"I'd like to know more about MightySkins Skin Compatible with Swagtron T6 Off-Road Hoverboard - Solid Pink | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA.","MightySkins Skin Compatible with Swagtron T6 Off-Road Hoverboard - Solid Pink | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",,
"Is 12"" Under the Sea Paper Fan Decoration a good product?","12"" Under the Sea Paper Fan Decoration",,
What is BANZAI Spin Out Slide with Spin Disk Bodyboard used for?,BANZAI Spin Out Slide with Spin Disk Bodyboard,,
"Can you describe The Tin Box Company Batman Bobble Head Bank, Black?","The Tin Box Company Batman Bobble Head Bank, Black",,
"Tell me about Melissa & Doug 31719 Mine to Love Mix & Match Playtime Doll Clothes for 12â€?18â€?Unisex Dolls (6 Pieces, Great Gift for Girls and Boys - Best for 3, 4, 5 Year Olds and Up), Multicolor.","Melissa & Doug 31719 Mine to Love Mix & Match Playtime Doll Clothes for 12â€?18â€?Unisex Dolls (6 Pieces, Great Gift for Girls and Boys - Best for 3, 4, 5 Year Olds and Up), Multicolor",,
"Do you have more info on Melissa & Doug Scratch Art Paper Solid Color Assortment With Stylus (12 Sheets, 6 Colors, Great Gift for Girls and Boys - Best for 5, 6, 7, 8, 9 Year Olds and Up)?","Melissa & Doug Scratch Art Paper Solid Color Assortment With Stylus (12 Sheets, 6 Colors, Great Gift for Girls and Boys - Best for 5, 6, 7, 8, 9 Year Olds and Up)",,
How much does Redcat Racing 02078 O-Rings (12Piece) cost?,Redcat Racing 02078 O-Rings (12Piece),,
"Do you have more info on Sonic Collector Series 3"" Figure Pack?","Sonic Collector Series 3"" Figure Pack",,
"Do you have more info on Noch 50210 Static Grass Sp Grn 3.5Oz H0,Tt,N,Z Scale Model Kit?","Noch 50210 Static Grass Sp Grn 3.5Oz H0,Tt,N,Z Scale Model Kit",,
Can you describe Redcat Racing Gear Linkage?,Redcat Racing Gear Linkage,,
Do you have more info on Nerf Modulus Stealth Ops Upgrade Kit?,Nerf Modulus Stealth Ops Upgrade Kit,,
"Do you have more info on Grim Tout Fairy Tales Face Painting Stencils, Brown/A?","Grim Tout Fairy Tales Face Painting Stencils, Brown/A",,
What are the features of EuroGraphics Cocktails Puzzle (1000-Piece)?,EuroGraphics Cocktails Puzzle (1000-Piece),,
What is amscan St. Patrick's Day Green Hat Hair Clip with Feathers | Party Accessory I 9 Ct used for?,amscan St. Patrick's Day Green Hat Hair Clip with Feathers | Party Accessory I 9 Ct,,
"Can you describe Triple Eight Sweatsaver Liner Skateboarding Helmet, All Black Rubber, X-Large?","Triple Eight Sweatsaver Liner Skateboarding Helmet, All Black Rubber, X-Large",,
"Do you have more info on MightySkins Skin Compatible with Razor A2 Kick Scooter - Rainbow Streaks | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA?","MightySkins Skin Compatible with Razor A2 Kick Scooter - Rainbow Streaks | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",,
Can you show me details about Zing Sky Gliderz?,Zing Sky Gliderz,,
"What is Creative Motion Monkey Plush Animal, Brown used for?","Creative Motion Monkey Plush Animal, Brown",,
"What's the price and brand of MightySkins Skin Compatible with DJI Spark Drone & Controller - Sugar Skull | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA?","MightySkins Skin Compatible with DJI Spark Drone & Controller - Sugar Skull | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",,
I'd like to know more about KIDS PREFERRED Peter Rabbit Flopsy Plush Stuffed Animal Snuggler Blanket - Pink.,KIDS PREFERRED Peter Rabbit Flopsy Plush Stuffed Animal Snuggler Blanket - Pink,,
"Tell me about FirstBIKE Limited Bike with Brake, Yellow.","FirstBIKE Limited Bike with Brake, Yellow",,
"Can you show me details about ""F-O-U-R"" Glitter Birthday Candles | Party Supply?","""F-O-U-R"" Glitter Birthday Candles | Party Supply",,
Tell me about Pink Donut Party Pinata Decoration - 12CM.,Pink Donut Party Pinata Decoration - 12CM,,
How much does Eureka Nutritious Foods Deco Kit (840380) cost?,Eureka Nutritious Foods Deco Kit (840380),,
"What's the price and brand of Franklin Sports Adult Pool Float â€?Inflatable Raft for Swimming â€?Fun, Sturdy and Durable Pool Float â€?Unique Styles and Colors â€?Great for the Pool, River, Lake or Ocean?","Franklin Sports Adult Pool Float â€?Inflatable Raft for Swimming â€?Fun, Sturdy and Durable Pool Float â€?Unique Styles and Colors â€?Great for the Pool, River, Lake or Ocean",,
What's the price and brand of Barbie Fashionistas Doll with Long Rainbow Hair?,Barbie Fashionistas Doll with Long Rainbow Hair,,
Tell me about WALIKI Bouncy Horse | Inflatable Hopping Animal | Toddler Riding Horse | Hoppy Horse Hopper | Green.,WALIKI Bouncy Horse | Inflatable Hopping Animal | Toddler Riding Horse | Hoppy Horse Hopper | Green,,
"Is Triple Eight Sweatsaver Liner Skateboarding Helmet, Royal Blue Rubber, Small a good product?","Triple Eight Sweatsaver Liner Skateboarding Helmet, Royal Blue Rubber, Small",,
"Can you describe amscan Festive Fall Thanksgiving Party Game Activities, Multicolor?","amscan Festive Fall Thanksgiving Party Game Activities, Multicolor",,
Can you show me details about Disguise Nintendo Mario Deluxe Boys' Costume?,Disguise Nintendo Mario Deluxe Boys' Costume,,
What's the price and brand of Fisher-Price Laugh & Learn Sing & Learn Music Player?,Fisher-Price Laugh & Learn Sing & Learn Music Player,,
"Do you have more info on Amscan Patriotic Single Hair Extension, Party Accessory, Red, White & Blue?","Amscan Patriotic Single Hair Extension, Party Accessory, Red, White & Blue",,
"Tell me about The World of Eric Carle, The Very Hungry Caterpillar Garden Tool Set for Kids.","The World of Eric Carle, The Very Hungry Caterpillar Garden Tool Set for Kids",,
What are the features of Mighty Beanz Slam Pack 8 Pack?,Mighty Beanz Slam Pack 8 Pack,,
Is Funko Pop Movies: Fantastic Beasts 2 Crimes of Grindelwald - Chupacabra a good product?,Funko Pop Movies: Fantastic Beasts 2 Crimes of Grindelwald - Chupacabra,,
"What are the features of Great Eastern Mega Man X4 9"" Plush?","Great Eastern Mega Man X4 9"" Plush",,
"What is Great Eastern Entertainment The Seven Deadly Sins - Hawk Collectible Plush Toy, 5"" used for?","Great Eastern Entertainment The Seven Deadly Sins - Hawk Collectible Plush Toy, 5""",,
I'd like to know more about Team Associated 25612 M3 Locknut with Flange.,Team Associated 25612 M3 Locknut with Flange,,
"Can you show me details about Oasis Supply Candy Stripe Birthday Candles, 2.5-Inch, White?","Oasis Supply Candy Stripe Birthday Candles, 2.5-Inch, White",,
"Tell me about Cozy Line Home Fashions Size 2 Piece Ocean Creatures Girl's Cotton Quilt Set, Twin, Pink.","Cozy Line Home Fashions Size 2 Piece Ocean Creatures Girl's Cotton Quilt Set, Twin, Pink",,
I'd like to know more about AMERICAN GREETINGS Bright Colors Latex Balloons | Pack of 15 | Party Decor.,AMERICAN GREETINGS Bright Colors Latex Balloons | Pack of 15 | Party Decor,,
I'd like to know more about BRIO World - 33711 My First Take Along Set | 7 Piece Train Toy with Accessories and Wooden Tracks for Kids Ages 18 Months and Up.,BRIO World - 33711 My First Take Along Set | 7 Piece Train Toy with Accessories and Wooden Tracks for Kids Ages 18 Months and Up,,
"Do you have more info on HearthSong 731926 Mega Tree Hanger Strap - for Outdoor Swings, Hanging Chairs, & Hanging Play Tents - Super Strong & Durable - Includes Branch Protector - Holdsup to 800 Lbs., Red & Black?","HearthSong 731926 Mega Tree Hanger Strap - for Outdoor Swings, Hanging Chairs, & Hanging Play Tents - Super Strong & Durable - Includes Branch Protector - Holdsup to 800 Lbs., Red & Black",,
"Is NPW Drinking Buddies Money Shooter, It's Raining Men a good product?","NPW Drinking Buddies Money Shooter, It's Raining Men",,
What is Rubie's Star Wars A New Hope X-Wing Pilot used for?,Rubie's Star Wars A New Hope X-Wing Pilot,,
"Can you describe Banpresto BP35750 Suicide Squad Q Posket-Joker-(B: Special Color Ver), Multicolor?","Banpresto BP35750 Suicide Squad Q Posket-Joker-(B: Special Color Ver), Multicolor",,
